ID,Attrition,AgeCat,Age,Educ_Field,Education,EducationField,BusinessTravel,JobLevel,JobRole,Department,StockOptionLevel,OverTime,PerformanceRating,MonthlyIncome,PercentSalaryHike,MonthlyRate,DailyRate,HourlyRate,DistanceFromHome,EESatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Gender,MaritalStatus,OtherCoExp,NumCompaniesWorked,PriorExpYrs,TotalWorkingYears,ServiceCat,YearsAtCompany,PromoLast3,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,Over18,StandardHours,EmployeeCount,EmployeeNumber,Rand
107,No,25-30,29,1_Technical Degree,1,Technical Degree,0ne,2,Manufacturing Director,Research & Development,1,0,3,4319,13,26283,1496,41,1,2.8,4,3,3,1,3,1,Male,Married,0,1,0,10,10+,10,0,0,7,9,Y,80,1,208,-1.363124405
108,No,50+,55,4_Human Resources,4,Human Resources,Rarely,5,Manager,Human Resources,1,1,3,19636,18,25811,189,71,26,2.6,3,4,2,1,3,0,Male,Married,1,4,25,35,10+,10,1,1,9,4,Y,80,1,1973,-1.353464654
109,Yes,45-50,46,2_Medical,2,Medical,Rarely,2,Healthcare Representative,Research & Development,1,0,4,8926,22,10842,261,66,21,3.4,4,3,2,4,4,2,Female,Married,1,4,4,13,8-10,9,1,3,7,7,Y,80,1,1821,-1.341389321
110,No,30-35,32,3_Technical Degree,3,Technical Degree,Rarely,1,Research Scientist,Research & Development,0,0,3,2439,14,11288,529,78,2,3,4,3,1,4,3,4,Male,Single,0,1,0,4,3-5,4,1,1,2,2,Y,80,1,2038,-1.328326693
111,No,25-30,28,3_Life Sciences,3,Life Sciences,Frequently,1,Research Scientist,Research & Development,1,1,3,2703,14,22088,773,39,6,3,3,2,3,4,3,2,Male,Divorced,0,1,0,3,3-5,3,0,0,1,2,Y,80,1,1154,-1.321122543
112,No,50+,52,2_Life Sciences,2,Life Sciences,Rarely,4,Manager,Research & Development,1,0,3,17099,15,13829,1053,70,1,3,4,3,4,2,2,2,Male,Married,1,2,17,26,8-10,9,0,7,8,8,Y,80,1,976,-1.319908306
113,No,50+,52,4_Life Sciences,4,Life Sciences,Rarely,3,Healthcare Representative,Research & Development,0,0,3,10445,19,15322,994,87,7,2.8,2,3,2,4,3,4,Male,Single,1,7,10,18,8-10,8,0,4,6,0,Y,80,1,1118,-1.316665707
114,No,35-40,35,4_Life Sciences,4,Life Sciences,0ne,2,Healthcare Representative,Research & Development,1,0,3,5093,11,4761,1225,61,2,2.6,4,3,1,1,4,2,Female,Divorced,1,2,15,16,1-3,1,0,0,0,0,Y,80,1,771,-1.314785484
115,No,35-40,35,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,3,1,3,8966,15,21026,1361,94,17,2.8,3,3,1,4,3,2,Male,Married,1,3,8,15,5-8,7,1,1,7,7,Y,80,1,1218,-1.307373811
116,No,35-40,37,2_Medical,2,Medical,0ne,3,Sales Executive,Sales,0,1,3,7642,13,4814,1252,32,19,2.6,1,3,2,4,3,2,Male,Single,0,1,0,10,10+,10,0,0,0,9,Y,80,1,904,-1.304966245
117,No,25-30,25,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,0,0,3,4950,14,20623,1356,57,10,3,3,3,4,2,3,4,Male,Single,1,0,1,5,3-5,4,1,1,3,1,Y,80,1,1240,-1.299176877
118,No,25-30,29,2_Other,2,Other,Rarely,2,Laboratory Technician,Research & Development,1,1,3,4025,13,23679,1378,46,13,2.4,4,2,2,1,3,2,Male,Married,1,4,6,10,3-5,4,0,0,3,3,Y,80,1,2053,-1.293571384
119,No,40-45,41,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,3,2451,12,4609,465,56,14,2.2,1,3,3,1,3,2,Male,Divorced,1,4,4,13,8-10,9,1,1,8,8,Y,80,1,227,-1.286691548
120,No,30-35,34,4_Technical Degree,4,Technical Degree,Rarely,2,Healthcare Representative,Research & Development,0,0,3,6687,11,6163,404,98,2,3.6,3,3,4,4,4,2,Female,Single,0,1,0,14,10+,14,0,4,11,11,Y,80,1,1383,-1.285545376
121,No,35-40,36,3_Life Sciences,3,Life Sciences,0ne,3,Research Director,Research & Development,1,0,3,11713,14,20335,427,63,8,2,1,4,1,1,3,2,Female,Married,1,9,2,10,8-10,8,0,0,7,5,Y,80,1,742,-1.276734758
122,No,<25,21,1_Medical,1,Medical,Rarely,1,Sales Representative,Sales,0,1,3,2380,11,25479,501,58,5,2.8,3,3,1,4,3,6,Male,Single,0,1,0,2,1-3,2,1,1,2,2,Y,80,1,2021,-1.276238943
123,No,45-50,45,3_Marketing,3,Marketing,Rarely,3,Sales Executive,Sales,1,1,3,10761,12,19239,930,74,9,2.8,4,3,1,3,3,2,Male,Divorced,1,4,13,18,5-8,5,0,0,4,2,Y,80,1,864,-1.266030696
124,No,35-40,38,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,0,0,4,4028,20,7791,243,46,7,2.8,4,2,4,1,3,2,Female,Single,1,0,1,8,5-8,7,0,0,7,5,Y,80,1,709,-1.261293773
125,No,25-30,29,2_Life Sciences,2,Life Sciences,Frequently,2,Sales Executive,Sales,0,0,3,4554,18,20260,442,44,2,2.4,2,3,4,1,2,3,Male,Single,0,1,0,10,10+,10,0,0,7,9,Y,80,1,388,-1.258346737
126,No,35-40,35,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,0,1,3,5204,11,13586,1224,55,7,3.4,3,3,4,4,3,2,Female,Married,0,1,0,10,10+,10,0,0,8,9,Y,80,1,1962,-1.249981452
127,Yes,30-35,32,1_Life Sciences,1,Life Sciences,Frequently,1,Research Scientist,Research & Development,0,1,4,3919,22,4681,1125,72,16,1.8,2,1,1,2,3,5,Female,Single,0,1,0,10,10+,10,0,6,2,7,Y,80,1,33,-1.24125979
128,No,45-50,45,2_Life Sciences,2,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,2,0,3,5906,13,23888,556,93,25,2.8,2,2,4,4,2,2,Female,Married,1,0,1,10,8-10,9,1,3,8,8,Y,80,1,1888,-1.239493013
129,No,40-45,43,3_Medical,3,Medical,Rarely,2,Research Scientist,Research & Development,0,1,3,4081,14,20003,930,73,6,1.6,1,2,3,1,1,3,Female,Single,0,1,0,20,10+,20,1,1,7,8,Y,80,1,1402,-1.224582333
130,No,45-50,46,3_Technical Degree,3,Technical Degree,Rarely,4,Sales Executive,Sales,1,0,3,13225,12,7739,1319,45,3,2.6,1,4,1,4,3,5,Female,Divorced,1,2,6,25,10+,19,1,2,17,8,Y,80,1,1863,-1.223259029
131,No,25-30,29,3_Medical,3,Medical,Rarely,2,Sales Executive,Sales,1,1,3,4187,13,3356,991,43,5,1.8,1,2,2,2,2,3,Male,Divorced,0,1,0,10,10+,10,0,0,0,9,Y,80,1,1669,-1.202649308
132,No,45-50,49,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,4507,12,8191,1313,80,11,3.6,4,3,4,3,4,1,Female,Single,1,3,3,8,5-8,5,0,0,1,4,Y,80,1,1757,-1.202079718
133,No,40-45,42,4_Technical Degree,4,Technical Degree,Frequently,2,Healthcare Representative,Research & Development,3,0,3,4523,11,4386,1368,88,28,3.6,4,2,4,4,4,4,Female,Married,1,0,1,7,5-8,6,0,0,5,4,Y,80,1,551,-1.201530046
134,No,35-40,39,3_Medical,3,Medical,Rarely,2,Manufacturing Director,Research & Development,0,0,4,5295,21,7693,492,66,12,3,4,3,2,3,3,3,Male,Married,1,4,2,7,5-8,5,1,1,4,0,Y,80,1,1654,-1.200399674
135,No,40-45,43,4_Life Sciences,4,Life Sciences,Frequently,2,Laboratory Technician,Research & Development,1,0,3,5257,11,6227,559,82,10,2.8,3,2,3,2,4,3,Female,Divorced,0,1,0,9,8-10,9,0,0,7,0,Y,80,1,448,-1.199517299
136,No,40-45,40,2_Medical,2,Medical,Frequently,2,Healthcare Representative,Research & Development,1,0,4,4244,24,9931,791,38,2,3.2,3,4,2,4,3,2,Female,Married,0,1,0,8,8-10,8,1,3,7,7,Y,80,1,807,-1.196404477
137,Yes,25-30,29,2_Life Sciences,2,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,1,1,3,2319,11,6689,805,36,1,2.4,2,2,1,4,3,1,Female,Married,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,816,-1.190293861
138,No,50+,54,3_Technical Degree,3,Technical Degree,Rarely,3,Manufacturing Director,Research & Development,1,0,3,10739,11,13943,1441,56,17,3,3,3,3,3,3,2,Female,Married,1,8,12,22,10+,10,0,0,7,8,Y,80,1,1013,-1.188532823
139,Yes,35-40,39,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,0,1,4,2404,21,4303,1122,70,6,2.6,4,3,1,4,1,2,Male,Married,1,7,6,8,1-3,2,1,2,2,2,Y,80,1,932,-1.1884942
140,No,35-40,37,3_Life Sciences,3,Life Sciences,Rarely,3,Sales Executive,Sales,0,0,3,7428,12,14506,1189,87,3,2.8,3,3,4,1,3,3,Male,Single,1,2,7,12,5-8,5,1,1,3,3,Y,80,1,152,-1.180786584
141,No,50+,56,3_Life Sciences,3,Life Sciences,Rarely,4,Manufacturing Director,Research & Development,1,1,3,13402,12,18235,1369,68,23,2.6,4,3,2,1,3,0,Male,Married,1,4,14,33,10+,19,0,15,16,9,Y,80,1,1373,-1.178450755
142,No,50+,58,4_Life Sciences,4,Life Sciences,Rarely,1,Research Scientist,Research & Development,2,0,3,2372,12,26076,848,88,23,2.8,1,3,3,4,3,3,Male,Divorced,0,1,0,2,1-3,2,1,2,2,2,Y,80,1,1308,-1.167614991
143,No,45-50,46,2_Medical,2,Medical,Rarely,3,Manufacturing Director,Research & Development,1,0,3,10845,13,24208,566,75,7,3,4,3,3,2,3,3,Male,Divorced,1,6,5,13,8-10,8,0,0,7,7,Y,80,1,1007,-1.164900161
144,No,35-40,37,4_Medical,4,Medical,Rarely,2,Sales Executive,Sales,1,0,3,6502,14,22825,228,98,6,3.2,3,3,4,2,4,5,Male,Married,1,4,2,7,5-8,5,0,0,4,1,Y,80,1,378,-1.15887056
145,No,40-45,40,1_Medical,1,Medical,Rarely,2,Healthcare Representative,Research & Development,3,0,4,6377,20,13888,1202,89,2,2.8,2,4,3,2,3,0,Female,Divorced,1,5,3,15,10+,12,0,11,11,8,Y,80,1,1375,-1.158268353
146,No,25-30,29,3_Life Sciences,3,Life Sciences,0ne,2,Sales Executive,Sales,1,0,3,4649,14,16928,746,61,2,2.6,4,3,3,1,2,3,Male,Married,0,1,0,4,3-5,4,0,0,3,2,Y,80,1,469,-1.156561109
147,No,30-35,33,3_Medical,3,Medical,Rarely,1,Research Scientist,Research & Development,1,0,3,2756,13,4673,931,72,14,3.2,4,3,2,4,3,5,Female,Married,0,1,0,8,8-10,8,1,1,7,6,Y,80,1,252,-1.156221136
148,No,30-35,33,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,1,0,3,6392,13,10589,1242,46,8,2,1,3,1,4,1,6,Male,Married,1,2,6,8,1-3,2,1,2,2,2,Y,80,1,1560,-1.154107343
149,No,<25,24,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,0,0,4,3597,22,6409,477,49,24,3.2,4,3,2,4,3,2,Male,Single,1,8,2,6,3-5,4,1,1,3,2,Y,80,1,1173,-1.153342503
150,No,25-30,28,3_Medical,3,Medical,Rarely,2,Manufacturing Director,Research & Development,1,0,4,4877,21,20460,580,39,27,1.6,2,1,1,2,2,5,Female,Divorced,1,0,1,6,5-8,5,0,0,3,0,Y,80,1,1622,-1.153313173
151,Yes,30-35,31,4_Medical,4,Medical,Rarely,2,Sales Executive,Sales,0,0,3,4233,17,11512,1365,46,13,2,2,3,1,3,1,2,Male,Divorced,1,2,6,9,3-5,3,1,1,1,2,Y,80,1,650,-1.127297142
152,No,30-35,32,3_Marketing,3,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,5396,12,21703,929,55,10,3.4,4,3,4,4,2,2,Male,Single,0,1,0,10,10+,10,0,0,7,8,Y,80,1,722,-1.121468797
153,No,30-35,32,3_Life Sciences,3,Life Sciences,Rarely,2,Sales Executive,Sales,1,0,3,5484,14,16985,906,91,7,2.8,4,2,3,3,2,3,Male,Married,0,1,0,13,10+,13,0,4,8,8,Y,80,1,420,-1.121310397
154,No,40-45,41,3_Life Sciences,3,Life Sciences,Rarely,2,Healthcare Representative,Research & Development,0,0,3,6870,12,15530,447,85,5,2,2,4,2,1,1,3,Male,Single,1,3,8,11,3-5,3,1,1,2,2,Y,80,1,1814,-1.120289251
155,No,30-35,34,3_Life Sciences,3,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,2,0,3,2008,14,6896,546,83,10,2.4,2,3,2,2,3,3,Male,Divorced,0,1,0,1,1-3,1,1,1,0,0,Y,80,1,934,-1.12017326
156,No,30-35,30,2_Technical Degree,2,Technical Degree,0ne,2,Sales Executive,Sales,1,1,3,4736,12,6069,641,85,25,3.2,4,3,3,2,4,2,Female,Married,1,7,2,4,1-3,2,1,2,2,2,Y,80,1,475,-1.118664804
157,No,40-45,40,2_Marketing,2,Marketing,Rarely,2,Sales Executive,Sales,1,0,3,5677,14,4258,444,92,2,2.6,2,3,2,3,3,4,Female,Married,1,3,4,15,10+,11,0,5,8,10,Y,80,1,1986,-1.118477289
158,Yes,35-40,39,3_Life Sciences,3,Life Sciences,Frequently,4,Healthcare Representative,Research & Development,3,0,3,12169,11,13547,203,84,2,3,1,3,4,4,3,4,Male,Divorced,1,7,3,21,10+,18,0,11,7,5,Y,80,1,1127,-1.117609485
159,No,40-45,43,3_Life Sciences,3,Life Sciences,Frequently,3,Manufacturing Director,Research & Development,1,0,3,10820,11,11535,1082,83,27,2.6,3,3,1,3,3,1,Female,Married,1,8,10,18,8-10,8,0,0,7,1,Y,80,1,1126,-1.11114206
160,No,40-45,42,5_Medical,5,Medical,Frequently,3,Research Director,Research & Development,0,1,3,13191,17,23281,458,60,26,2.2,1,3,1,3,3,6,Female,Married,1,3,19,20,1-3,1,0,0,0,0,Y,80,1,1242,-1.109888884
161,No,30-35,30,1_Life Sciences,1,Life Sciences,Rarely,2,Laboratory Technician,Research & Development,2,1,3,5126,12,15998,852,55,1,3,4,2,4,3,2,1,Male,Married,0,1,0,10,10+,10,1,3,8,0,Y,80,1,104,-1.109695854
162,Yes,25-30,28,2_Technical Degree,2,Technical Degree,0ne,3,Healthcare Representative,Research & Development,0,0,3,8722,12,12355,1366,72,24,1.6,2,2,1,1,2,2,Male,Single,0,1,0,10,10+,10,1,1,7,9,Y,80,1,1082,-1.107555696
163,No,30-35,33,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,7104,12,20431,1216,39,8,3.2,3,3,3,4,3,3,Male,Divorced,1,0,1,6,5-8,5,1,1,0,2,Y,80,1,677,-1.104593607
164,No,40-45,42,2_Life Sciences,2,Life Sciences,Rarely,2,Research Scientist,Research & Development,0,1,3,6545,13,23016,916,82,17,3,4,4,1,3,3,1,Female,Single,1,3,7,10,3-5,3,0,0,2,2,Y,80,1,347,-1.103144617
165,No,35-40,35,3_Marketing,3,Marketing,Rarely,3,Sales Executive,Sales,2,0,3,8020,15,5100,1232,96,16,2.6,3,3,2,3,2,3,Male,Married,1,0,1,12,10+,11,0,6,9,9,Y,80,1,406,-1.102832554
166,Yes,<25,20,3_Medical,3,Medical,Rarely,1,Sales Representative,Sales,0,0,3,2044,13,22052,500,49,2,2.8,3,2,3,4,2,3,Female,Single,0,1,0,2,1-3,2,0,0,2,2,Y,80,1,922,-1.094005015
167,No,45-50,49,4_Other,4,Other,Rarely,4,Research Director,Research & Development,2,0,3,16413,16,3498,301,72,22,2.2,1,3,2,2,3,2,Female,Married,1,3,23,27,3-5,4,1,1,2,2,Y,80,1,1655,-1.091049971
168,No,30-35,33,5_Medical,5,Medical,Rarely,4,Research Director,Research & Development,1,0,3,16184,19,22578,922,95,1,2.8,1,4,3,3,3,2,Female,Divorced,1,4,4,10,5-8,6,0,0,1,5,Y,80,1,612,-1.070224056
169,No,50+,52,2_Technical Degree,2,Technical Degree,Rarely,2,Research Scientist,Research & Development,2,1,3,5577,12,22087,956,78,6,2.6,4,3,1,2,3,3,Male,Divorced,1,3,8,18,10+,10,0,6,9,9,Y,80,1,630,-1.066567855
170,No,25-30,29,4_Life Sciences,4,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,4,2514,22,26968,1107,93,28,2.8,3,3,4,1,3,1,Female,Divorced,1,4,4,11,5-8,7,1,1,5,7,Y,80,1,1120,-1.061695242
171,No,30-35,30,5_Marketing,5,Marketing,Rarely,2,Sales Executive,Sales,1,0,4,5304,23,25275,501,99,27,3.2,3,3,4,4,2,2,Male,Divorced,1,7,2,10,8-10,8,0,7,7,7,Y,80,1,747,-1.055803023
172,No,45-50,47,4_Technical Degree,4,Technical Degree,0ne,2,Research Scientist,Research & Development,1,0,3,5467,18,2125,1169,64,14,3,3,3,2,3,4,4,Male,Married,1,8,8,16,8-10,8,1,1,7,7,Y,80,1,1934,-1.05427219
173,No,45-50,46,1_Medical,1,Medical,Frequently,3,Healthcare Representative,Research & Development,0,0,3,10527,11,8984,1034,86,18,2.6,1,3,3,4,2,3,Female,Married,1,5,26,28,1-3,2,1,1,2,2,Y,80,1,624,-1.051259944
174,No,30-35,33,5_Marketing,5,Marketing,Rarely,3,Sales Executive,Sales,2,1,3,8380,14,21708,536,82,10,3.6,4,4,3,4,3,3,Male,Divorced,1,0,1,10,8-10,9,0,0,8,8,Y,80,1,1268,-1.040372928
175,No,50+,53,2_Medical,2,Medical,Rarely,4,Manager,Sales,1,0,3,14852,13,13938,1376,45,2,3.2,3,3,3,3,4,3,Male,Divorced,1,6,5,22,10+,17,0,15,13,2,Y,80,1,981,-1.03908568
176,No,<25,21,1_Technical Degree,1,Technical Degree,Rarely,1,Research Scientist,Research & Development,0,1,3,2070,11,25326,984,70,1,3,4,2,2,3,4,6,Female,Single,0,1,0,2,1-3,2,1,2,2,2,Y,80,1,1131,-1.025020106
177,Yes,50+,55,3_Medical,3,Medical,Rarely,5,Manager,Research & Development,1,1,3,19859,13,21199,725,78,2,3,4,3,1,4,3,2,Male,Married,1,5,19,24,5-8,5,1,1,2,4,Y,80,1,787,-1.011671064
178,Yes,25-30,26,3_Life Sciences,3,Life Sciences,Frequently,1,Research Scientist,Research & Development,1,1,3,2042,14,15346,342,57,2,2,1,3,1,2,3,2,Male,Married,1,6,3,6,3-5,3,1,1,2,2,Y,80,1,1053,-0.99920241
179,No,30-35,32,3_Marketing,3,Marketing,Frequently,3,Sales Executive,Sales,0,0,3,8998,14,15589,967,43,8,3.2,2,3,4,4,3,2,Female,Single,0,1,0,9,8-10,9,1,3,8,7,Y,80,1,207,-0.999145093
180,No,35-40,38,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,0,0,4,8686,22,12930,702,59,1,2.8,1,2,4,3,4,2,Female,Single,1,4,4,12,8-10,8,0,0,3,7,Y,80,1,230,-0.992532964
181,No,35-40,35,3_Life Sciences,3,Life Sciences,Rarely,3,Manufacturing Director,Research & Development,1,0,3,10274,18,19588,819,44,2,2.6,3,2,2,2,4,2,Male,Divorced,1,2,8,15,5-8,7,0,6,7,4,Y,80,1,1182,-0.989643766
182,No,35-40,38,2_Life Sciences,2,Life Sciences,Rarely,2,Sales Executive,Sales,1,0,3,6893,15,19461,1009,31,2,2.6,2,3,1,4,3,3,Female,Divorced,1,3,4,11,5-8,7,1,1,7,7,Y,80,1,1355,-0.988567152
183,No,40-45,43,3_Medical,3,Medical,Frequently,1,Research Scientist,Research & Development,0,0,3,4739,12,16090,957,72,28,3.2,2,4,3,4,3,2,Female,Single,1,4,15,18,3-5,3,1,1,2,2,Y,80,1,171,-0.987189181
184,No,35-40,39,3_Life Sciences,3,Life Sciences,Rarely,3,Manufacturing Director,Research & Development,0,0,3,8376,18,9150,1089,32,6,2.8,2,3,2,4,3,3,Female,Single,1,4,7,9,1-3,2,1,2,0,2,Y,80,1,1525,-0.987187362
185,No,35-40,39,1_Life Sciences,1,Life Sciences,Frequently,1,Laboratory Technician,Research & Development,1,0,3,3755,11,17872,443,48,8,2.6,3,3,3,1,3,3,Female,Married,0,1,0,8,8-10,8,0,0,3,7,Y,80,1,602,-0.983690282
186,No,25-30,28,3_Medical,3,Medical,Rarely,1,Research Scientist,Research & Development,1,0,4,2070,23,2613,1158,94,9,3.4,4,3,4,4,2,3,Male,Married,0,1,0,5,5-8,5,0,0,2,4,Y,80,1,377,-0.982970924
187,No,25-30,25,1_Life Sciences,1,Life Sciences,Frequently,2,Manufacturing Director,Research & Development,2,0,3,5206,17,4973,772,77,2,3.4,4,4,3,3,3,6,Male,Divorced,0,1,0,7,5-8,7,0,0,7,7,Y,80,1,1653,-0.981793104
188,No,45-50,47,4_Life Sciences,4,Life Sciences,Rarely,4,Manager,Sales,3,0,3,15972,14,21086,1225,47,2,2.8,2,4,2,3,3,2,Female,Divorced,1,6,26,29,3-5,3,1,1,2,2,Y,80,1,1676,-0.981167543
189,No,50+,50,1_Life Sciences,1,Life Sciences,Rarely,5,Research Director,Research & Development,2,0,3,19144,14,15815,797,96,4,1.8,1,3,2,1,2,4,Male,Divorced,1,3,18,28,10+,10,1,1,4,6,Y,80,1,385,-0.980754326
190,No,25-30,28,3_Medical,3,Medical,0ne,2,Sales Executive,Sales,0,0,3,4221,15,8863,120,43,4,2.8,2,3,3,2,4,3,Male,Married,0,1,0,5,5-8,5,0,0,4,4,Y,80,1,129,-0.974318622
191,No,30-35,30,2_Medical,2,Medical,Rarely,2,Research Scientist,Research & Development,2,0,3,5775,13,11934,1275,64,28,3.6,4,3,4,4,3,2,Female,Married,1,1,1,11,10+,10,1,1,8,9,Y,80,1,441,-0.972970286
192,No,30-35,31,4_Marketing,4,Marketing,Frequently,3,Sales Executive,Sales,2,0,3,9637,14,8277,1125,68,7,2.4,1,3,1,4,3,3,Female,Married,1,2,6,9,3-5,3,1,2,2,2,Y,80,1,1833,-0.954481277
193,No,45-50,46,3_Medical,3,Medical,Rarely,2,Manufacturing Director,Research & Development,1,0,3,4810,14,26314,1485,87,18,2.8,3,3,3,3,2,5,Female,Divorced,1,2,9,19,10+,10,0,0,7,8,Y,80,1,550,-0.952401621
194,No,45-50,48,5_Marketing,5,Marketing,Rarely,2,Sales Executive,Sales,1,0,3,4051,14,19658,163,37,2,2.6,2,3,4,1,3,2,Female,Married,1,2,5,14,8-10,9,0,6,7,7,Y,80,1,595,-0.950628346
195,No,25-30,26,1_Medical,1,Medical,Rarely,1,Research Scientist,Research & Development,0,0,3,3904,12,4050,683,36,2,2.8,1,2,4,4,3,2,Male,Single,1,0,1,5,3-5,4,1,1,3,1,Y,80,1,1407,-0.94713693
196,No,50+,51,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,0,3,2723,11,23231,833,96,1,2.8,3,3,4,2,2,0,Male,Married,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,353,-0.946466062
197,No,50+,51,4_Life Sciences,4,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,2,0,4,2075,23,18725,432,96,9,3.2,4,3,4,2,3,4,Male,Married,1,3,6,10,3-5,4,0,0,2,3,Y,80,1,116,-0.945100031
198,No,45-50,49,4_Technical Degree,4,Technical Degree,Rarely,4,Sales Executive,Sales,1,0,3,13120,17,11879,174,56,8,2.6,4,2,2,2,3,3,Male,Married,1,6,13,22,8-10,9,1,2,8,3,Y,80,1,1138,-0.94231877
199,No,40-45,44,4_Medical,4,Medical,Rarely,3,Healthcare Representative,Research & Development,1,0,3,10248,14,2094,477,42,7,2.8,1,2,4,4,3,4,Female,Married,1,3,2,24,10+,22,0,5,6,17,Y,80,1,36,-0.937206718
200,No,<25,24,2_Other,2,Other,Rarely,1,Laboratory Technician,Research & Development,1,0,4,2127,21,9100,823,94,17,3,4,2,2,4,3,2,Male,Married,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,643,-0.931785398
201,Yes,40-45,40,3_Life Sciences,3,Life Sciences,0ne,4,Sales Executive,Sales,0,1,3,13194,16,17071,1479,100,24,2.8,2,4,2,4,2,2,Female,Single,1,4,21,22,1-3,1,0,0,0,0,Y,80,1,986,-0.928159881
202,No,30-35,32,3_Life Sciences,3,Life Sciences,Rarely,2,Research Scientist,Research & Development,2,0,3,6220,17,7346,548,66,1,2.4,2,3,2,2,3,3,Male,Married,0,1,0,10,10+,10,0,0,4,9,Y,80,1,96,-0.926630058
203,No,30-35,32,3_Life Sciences,3,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,1,0,3,6162,12,19124,859,98,4,2.8,3,2,3,3,3,3,Female,Married,0,1,0,14,10+,14,0,6,13,8,Y,80,1,830,-0.925637674
204,Yes,25-30,28,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,1,3,2216,13,3872,654,67,1,2.2,1,1,2,4,3,4,Female,Single,1,7,3,10,5-8,7,1,3,7,7,Y,80,1,741,-0.924918271
205,No,30-35,32,2_Life Sciences,2,Life Sciences,Rarely,1,Sales Representative,Sales,1,0,3,3931,11,20990,1401,56,4,2.4,3,3,2,1,3,5,Female,Married,1,2,2,6,3-5,4,1,1,3,2,Y,80,1,330,-0.922539381
206,No,40-45,44,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,1,3,2559,13,7508,661,61,9,2.6,2,3,1,4,3,0,Male,Married,0,1,0,8,8-10,8,0,7,7,1,Y,80,1,913,-0.920750072
207,Yes,40-45,43,3_Marketing,3,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,5346,13,9489,1372,85,9,1.8,1,1,3,2,2,2,Female,Single,1,8,3,7,3-5,4,1,1,3,3,Y,80,1,1188,-0.919397979
208,Yes,35-40,38,1_Medical,1,Medical,Rarely,2,Healthcare Representative,Research & Development,0,1,3,6673,19,11354,1180,70,29,2.2,2,3,1,2,3,2,Male,Married,1,7,16,17,1-3,1,0,0,0,0,Y,80,1,282,-0.918081862
209,No,30-35,30,3_Technical Degree,3,Technical Degree,Rarely,1,Research Scientist,Research & Development,1,0,3,3204,14,10415,201,84,5,3,4,3,1,4,3,3,Female,Divorced,1,5,5,8,3-5,3,1,2,2,2,Y,80,1,197,-0.910210403
210,No,40-45,41,1_Life Sciences,1,Life Sciences,Rarely,3,Sales Executive,Sales,1,1,3,8189,13,21196,802,96,9,3,3,3,3,3,3,2,Male,Divorced,1,3,3,12,8-10,9,0,0,7,7,Y,80,1,176,-0.903403179
211,No,40-45,41,4_Life Sciences,4,Life Sciences,Rarely,4,Manufacturing Director,Research & Development,1,0,4,13570,23,5640,582,60,28,2.2,1,2,2,3,3,3,Female,Married,1,0,1,21,10+,20,0,0,7,10,Y,80,1,2034,-0.90331319
212,No,40-45,42,2_Marketing,2,Marketing,Rarely,5,Manager,Sales,0,0,3,18303,13,7770,265,90,5,3.2,4,3,3,2,4,3,Male,Married,1,6,20,21,1-3,1,0,0,0,0,Y,80,1,1029,-0.901288744
213,No,35-40,37,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,0,3,4680,17,15232,1225,80,10,3.2,4,4,4,1,3,2,Male,Single,1,3,3,4,1-3,1,0,0,0,0,Y,80,1,715,-0.899057935
214,No,40-45,42,2_Life Sciences,2,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,1,1,3,6062,13,4051,932,43,1,3.4,4,2,4,4,3,4,Female,Married,1,9,4,8,3-5,4,0,0,3,2,Y,80,1,827,-0.898511114
